County,count,Professional qualification,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
Bomi,Dewoin,AA Certificate,0.0,1.0,0.0,0.0
Bomi,Dewoin,B.Sc. in Education,0.0,2.0,0.0,0.0
Bomi,Dewoin,In-service C Certificate,3.0,3.0,1.0,0.0
Bomi,Dewoin,M.Sc. in Education,0.0,1.0,0.0,0.0
Bomi,Dewoin,No teaching certificate,2.0,3.0,0.0,0.0
Bomi,Dewoin,Pre-service B Certificate,2.0,0.0,0.0,0.0
Bomi,Dewoin,Pre-service C Certificate,2.0,5.0,0.0,0.0
Bomi,Klay,AA Certificate,0.0,1.0,0.0,0.0
Bomi,Klay,In-service C Certificate,3.0,5.0,0.0,0.0
Bomi,Klay,No teaching certificate,5.0,2.0,0.0,0.0
Bomi,Senji,AA Certificate,3.0,22.0,12.0,2.0
Bomi,Senji,B.Sc. in Education,0.0,1.0,2.0,3.0
Bomi,Senji,In-service B Certificate,0.0,1.0,0.0,0.0
Bomi,Senji,In-service C Certificate,18.0,32.0,7.0,2.0
Bomi,Senji,No teaching certificate,26.0,29.0,12.0,18.0
Bomi,Senji,Pre-service B Certificate,1.0,4.0,3.0,1.0
Bomi,Senji,Pre-service C Certificate,15.0,34.0,10.0,2.0
Bomi,Suehn-Mecca,AA Certificate,1.0,2.0,0.0,0.0
Bomi,Suehn-Mecca,B.Sc. in Education,0.0,0.0,2.0,1.0
Bomi,Suehn-Mecca,In-service B Certificate,3.0,2.0,0.0,0.0
Bomi,Suehn-Mecca,In-service C Certificate,4.0,10.0,1.0,1.0
Bomi,Suehn-Mecca,M.Sc. in Education,0.0,1.0,0.0,1.0
Bomi,Suehn-Mecca,No teaching certificate,18.0,15.0,3.0,3.0
Bomi,Suehn-Mecca,Pre-service B Certificate,0.0,0.0,1.0,1.0
Bomi,Suehn-Mecca,Pre-service C Certificate,17.0,32.0,2.0,2.0
Bong,Fuamah,AA Certificate,0.0,0.0,1.0,2.0
Bong,Fuamah,B.Sc. in Education,0.0,0.0,2.0,9.0
Bong,Fuamah,In-service B Certificate,0.0,1.0,3.0,2.0
Bong,Fuamah,In-service C Certificate,4.0,13.0,2.0,0.0
Bong,Fuamah,No teaching certificate,1.0,1.0,0.0,0.0
Bong,Fuamah,Pre-service B Certificate,0.0,1.0,2.0,1.0
Bong,Fuamah,Pre-service C Certificate,12.0,35.0,0.0,0.0
Bong,Gbarnga 1,AA Certificate,3.0,10.0,7.0,6.0
Bong,Gbarnga 1,B.Sc. in Education,2.0,5.0,6.0,5.0
Bong,Gbarnga 1,In-service B Certificate,3.0,8.0,16.0,6.0
Bong,Gbarnga 1,In-service C Certificate,32.0,36.0,32.0,1.0
Bong,Gbarnga 1,No teaching certificate,4.0,10.0,3.0,0.0
Bong,Gbarnga 1,Pre-service B Certificate,3.0,8.0,14.0,6.0
Bong,Gbarnga 1,Pre-service C Certificate,18.0,43.0,26.0,2.0
Bong,Gbarnga 2,AA Certificate,0.0,8.0,8.0,0.0
Bong,Gbarnga 2,B.Sc. in Education,4.0,5.0,5.0,4.0
Bong,Gbarnga 2,In-service B Certificate,3.0,10.0,5.0,1.0
Bong,Gbarnga 2,In-service C Certificate,40.0,67.0,31.0,0.0
Bong,Gbarnga 2,M.Sc. in Education,0.0,0.0,0.0,1.0
Bong,Gbarnga 2,No teaching certificate,14.0,15.0,1.0,0.0
Bong,Gbarnga 2,Pre-service B Certificate,2.0,16.0,8.0,0.0
Bong,Gbarnga 2,Pre-service C Certificate,57.0,80.0,21.0,0.0
Bong,Kokoyah,AA Certificate,2.0,2.0,0.0,0.0
Bong,Kokoyah,B.Sc. in Education,1.0,1.0,1.0,1.0
Bong,Kokoyah,In-service B Certificate,2.0,3.0,5.0,0.0
Bong,Kokoyah,In-service C Certificate,17.0,95.0,23.0,0.0
Bong,Kokoyah,No teaching certificate,37.0,53.0,2.0,0.0
Bong,Kokoyah,Pre-service B Certificate,0.0,5.0,1.0,0.0
Bong,Kokoyah,Pre-service C Certificate,13.0,36.0,10.0,1.0
Bong,Panta-Kpaai,AA Certificate,1.0,2.0,4.0,3.0
Bong,Panta-Kpaai,B.Sc. in Education,1.0,1.0,2.0,7.0
Bong,Panta-Kpaai,In-service B Certificate,0.0,7.0,7.0,2.0
Bong,Panta-Kpaai,In-service C Certificate,23.0,93.0,19.0,2.0
Bong,Panta-Kpaai,No teaching certificate,34.0,57.0,9.0,9.0
Bong,Panta-Kpaai,Pre-service B Certificate,0.0,3.0,3.0,1.0
Bong,Panta-Kpaai,Pre-service C Certificate,14.0,41.0,10.0,2.0
Bong,Salala,AA Certificate,0.0,7.0,1.0,1.0
Bong,Salala,B.Sc. in Education,0.0,3.0,7.0,7.0
Bong,Salala,In-service B Certificate,0.0,0.0,1.0,0.0
Bong,Salala,In-service C Certificate,10.0,29.0,13.0,0.0
Bong,Salala,No teaching certificate,10.0,24.0,4.0,0.0
Bong,Salala,Pre-service B Certificate,1.0,3.0,3.0,2.0
Bong,Salala,Pre-service C Certificate,15.0,53.0,9.0,0.0
Bong,Sanoyea,AA Certificate,0.0,1.0,0.0,0.0
Bong,Sanoyea,B.Sc. in Education,0.0,1.0,2.0,3.0
Bong,Sanoyea,In-service B Certificate,0.0,0.0,1.0,1.0
Bong,Sanoyea,In-service C Certificate,11.0,31.0,4.0,1.0
Bong,Sanoyea,No teaching certificate,6.0,17.0,0.0,0.0
Bong,Sanoyea,Pre-service B Certificate,2.0,5.0,3.0,0.0
Bong,Sanoyea,Pre-service C Certificate,6.0,21.0,5.0,0.0
Bong,Suakoko,In-service B Certificate,0.0,0.0,1.0,1.0
Bong,Suakoko,In-service C Certificate,2.0,3.0,0.0,1.0
Bong,Suakoko,No teaching certificate,5.0,12.0,0.0,0.0
Bong,Suakoko,Pre-service B Certificate,0.0,1.0,0.0,0.0
Bong,Suakoko,Pre-service C Certificate,2.0,6.0,1.0,0.0
Bong,Zota,AA Certificate,0.0,2.0,0.0,1.0
Bong,Zota,B.Sc. in Education,0.0,1.0,3.0,3.0
Bong,Zota,In-service B Certificate,0.0,1.0,0.0,0.0
Bong,Zota,In-service C Certificate,15.0,53.0,3.0,4.0
Bong,Zota,No teaching certificate,14.0,23.0,5.0,3.0
Bong,Zota,Pre-service B Certificate,0.0,8.0,4.0,1.0
Bong,Zota,Pre-service C Certificate,10.0,35.0,8.0,1.0
Gbarpolu,Belle,AA Certificate,0.0,0.0,2.0,0.0
Gbarpolu,Belle,B.Sc. in Education,0.0,0.0,8.0,5.0
Gbarpolu,Belle,In-service B Certificate,0.0,0.0,1.0,0.0
Gbarpolu,Belle,In-service C Certificate,10.0,23.0,13.0,0.0
Gbarpolu,Belle,No teaching certificate,14.0,21.0,7.0,0.0
Gbarpolu,Belle,Pre-service B Certificate,0.0,1.0,1.0,0.0
Gbarpolu,Belle,Pre-service C Certificate,1.0,12.0,5.0,0.0
Gbarpolu,Bokomu,Pre-service C Certificate,2.0,2.0,0.0,0.0
Gbarpolu,Bopolu,AA Certificate,0.0,5.0,5.0,2.0
Gbarpolu,Bopolu,B.Sc. in Education,2.0,1.0,3.0,5.0
Gbarpolu,Bopolu,In-service C Certificate,4.0,10.0,2.0,0.0
Gbarpolu,Bopolu,No teaching certificate,26.0,29.0,0.0,1.0
Gbarpolu,Bopolu,Pre-service B Certificate,0.0,3.0,1.0,0.0
Gbarpolu,Bopolu,Pre-service C Certificate,25.0,70.0,6.0,0.0
