,County,Which of the following facilities are available at your school?/Electricity,Level of school/Early Childhood Education,"Level of school/Primary (Lower Basic, Grade 1-6)","Level of school/Junior High (Upper Basic, Grades 7-9)","Level of school/Senior High (secondary, Grades 10-12)",Level of school/Alternative Learning program,Level of school/Technical and Vocational Education Education and Training
0,Bomi,Electricity is not available,63,64,11,6,0,1
1,Bomi,Electricity is available,2,3,2,1,0,1
2,Bong,Electricity is not available,184,201,61,17,13,1
3,Bong,Electricity is available,11,10,11,6,2,0
4,Gbarpolu,Electricity is not available,101,102,16,4,1,0
5,Gbarpolu,Electricity is available,1,1,0,0,0,0
6,Grand Bassa,Electricity is not available,125,126,23,6,10,0
7,Grand Bassa,Electricity is available,7,6,4,2,0,0
8,Grand Cape Mount,Electricity is not available,168,165,47,16,0,0
9,Grand Cape Mount,Electricity is available,4,3,3,2,0,0
10,Grand Gedeh,Electricity is not available,111,113,25,8,0,0
11,Grand Gedeh,Electricity is available,5,11,8,6,0,1
12,Grand Kru,Electricity is not available,76,80,31,7,0,0
13,Lofa,Electricity is not available,157,161,39,9,9,0
14,Lofa,Electricity is available,5,7,5,3,1,1
15,Margibi,Electricity is not available,128,136,60,20,13,1
16,Margibi,Electricity is available,31,39,28,13,0,1
17,Maryland,Electricity is not available,16,18,8,2,0,0
18,Maryland,Electricity is available,1,1,1,0,0,0
19,Montserrado 1,Electricity is not available,417,434,256,99,3,2
20,Montserrado 1,Electricity is available,290,301,204,104,4,11
21,Montserrado 2,Electricity is not available,452,476,257,110,13,3
22,Montserrado 2,Electricity is available,178,181,136,72,1,3
23,Nimba,Electricity is not available,467,477,151,32,23,2
24,Nimba,Electricity is available,31,36,32,18,1,1
25,River Gee,Electricity is not available,67,68,12,2,0,0
26,Rivercess,Electricity is not available,37,37,5,0,0,0
27,Rivercess,Electricity is available,1,1,2,1,0,0
28,Sinoe,Electricity is not available,111,113,36,10,0,0
29,Sinoe,Electricity is available,1,1,2,1,0,1
