County,count,Level of school/Early Childhood Education,"Level of school/Primary (Lower Basic, Grade 1-6)","Level of school/Junior High (Upper Basic, Grades 7-9)","Level of school/Senior High (secondary, Grades 10-12)",Level of school/Alternative Learning program,Level of school/Technical and Vocational Education Education and Training
Bomi,Dewoin,4,4,0,0,0,0
Bomi,Klay,8,8,0,0,0,1
Bomi,Senji,32,34,12,6,0,1
Bomi,Suehn-Mecca,25,25,1,1,0,0
Bong,Fuamah,11,11,3,3,0,0
Bong,Gbarnga 1,28,32,17,6,0,1
Bong,Gbarnga 2,39,46,24,7,4,0
Bong,Kokoyah,42,47,12,2,7,0
Bong,Panta-Kpaai,49,47,14,4,2,0
Bong,Salala,31,34,12,4,0,0
Bong,Sanoyea,21,26,2,1,1,0
Bong,Suakoko,8,8,2,1,0,0
Bong,Zota,25,31,4,2,2,0
Gbarpolu,Belle,19,19,5,1,0,0
Gbarpolu,Bokomu,15,15,1,0,0,0
Gbarpolu,Bopolu,31,31,5,1,1,0
Gbarpolu,Gbarma,24,24,3,2,0,0
Gbarpolu,Gorwalali,20,20,1,0,0,0
Gbarpolu,Kongba,14,14,2,0,0,0
Grand Bassa,District 1,23,24,5,2,4,0
Grand Bassa,District 2,27,27,2,1,1,0
Grand Bassa,District 3A,34,34,4,3,3,0
Grand Bassa,District 3B,35,35,3,0,1,0
Grand Bassa,District 4,25,24,5,0,1,0
Grand Bassa,District 5,20,22,12,2,0,0
Grand Bassa,District 5B,4,4,1,0,0,0
Grand Cape Mount,Garwular,42,42,17,6,0,0
Grand Cape Mount,Gola Konneh,42,40,12,1,0,0
Grand Cape Mount,Porkpa,33,33,5,2,0,0
Grand Cape Mount,Tallah Tombay,17,17,5,3,0,0
Grand Cape Mount,Tewor,57,54,14,6,0,0
Grand Gedeh,Cavalla,37,38,13,4,1,0
Grand Gedeh,Gbarzon,14,15,4,0,0,0
Grand Gedeh,Konobo,34,33,2,1,0,0
Grand Gedeh,Putu,10,12,1,1,0,0
Grand Gedeh,Tchien,48,54,18,11,1,1
Grand Kru,Barclayville,20,20,8,3,0,0
Grand Kru,Buah,16,16,2,1,0,0
Grand Kru,Dorbor,13,12,3,0,0,0
