,County,Professional qualification,count,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
0,Bomi,AA Certificate,Dewoin,0.0,1.0,0.0,0.0
1,Bomi,AA Certificate,Klay,0.0,1.0,0.0,0.0
2,Bomi,AA Certificate,Senji,3.0,22.0,12.0,2.0
3,Bomi,AA Certificate,Suehn-Mecca,1.0,2.0,0.0,0.0
4,Bomi,B.Sc. in Education,Dewoin,0.0,2.0,0.0,0.0
5,Bomi,B.Sc. in Education,Senji,0.0,1.0,2.0,3.0
6,Bomi,B.Sc. in Education,Suehn-Mecca,0.0,0.0,2.0,1.0
7,Bomi,In-service B Certificate,Senji,0.0,1.0,0.0,0.0
8,Bomi,In-service B Certificate,Suehn-Mecca,3.0,2.0,0.0,0.0
9,Bomi,In-service C Certificate,Dewoin,3.0,3.0,1.0,0.0
10,Bomi,In-service C Certificate,Klay,3.0,5.0,0.0,0.0
11,Bomi,In-service C Certificate,Senji,18.0,32.0,7.0,2.0
12,Bomi,In-service C Certificate,Suehn-Mecca,4.0,10.0,1.0,1.0
13,Bomi,M.Sc. in Education,Dewoin,0.0,1.0,0.0,0.0
14,Bomi,M.Sc. in Education,Suehn-Mecca,0.0,1.0,0.0,1.0
15,Bomi,No teaching certificate,Dewoin,2.0,3.0,0.0,0.0
16,Bomi,No teaching certificate,Klay,5.0,2.0,0.0,0.0
17,Bomi,No teaching certificate,Senji,26.0,29.0,12.0,18.0
18,Bomi,No teaching certificate,Suehn-Mecca,18.0,15.0,3.0,3.0
19,Bomi,Pre-service B Certificate,Dewoin,2.0,0.0,0.0,0.0
20,Bomi,Pre-service B Certificate,Senji,1.0,4.0,3.0,1.0
21,Bomi,Pre-service B Certificate,Suehn-Mecca,0.0,0.0,1.0,1.0
22,Bomi,Pre-service C Certificate,Dewoin,2.0,5.0,0.0,0.0
23,Bomi,Pre-service C Certificate,Senji,15.0,34.0,10.0,2.0
24,Bomi,Pre-service C Certificate,Suehn-Mecca,17.0,32.0,2.0,2.0
25,Bong,AA Certificate,Fuamah,0.0,0.0,1.0,2.0
26,Bong,AA Certificate,Gbarnga 1,3.0,10.0,7.0,6.0
