County,Type of school,Professional qualification,0
Bomi,Faith-based,AA Certificate,17.0
Bomi,Faith-based,B.Sc. in Education,3.0
Bomi,Faith-based,In-service B Certificate,1.0
Bomi,Faith-based,In-service C Certificate,16.0
Bomi,Faith-based,No teaching certificate,47.0
Bomi,Faith-based,Pre-service B Certificate,5.0
Bomi,Faith-based,Pre-service C Certificate,19.0
Bomi,Private,AA Certificate,13.0
Bomi,Private,B.Sc. in Education,1.0
Bomi,Private,In-service C Certificate,14.0
Bomi,Private,No teaching certificate,20.0
Bomi,Private,Pre-service B Certificate,4.0
Bomi,Private,Pre-service C Certificate,9.0
Bomi,Public,AA Certificate,14.0
Bomi,Public,B.Sc. in Education,7.0
Bomi,Public,In-service B Certificate,5.0
Bomi,Public,In-service C Certificate,60.0
Bomi,Public,M.Sc. in Education,3.0
Bomi,Public,No teaching certificate,69.0
Bomi,Public,Pre-service B Certificate,4.0
Bomi,Public,Pre-service C Certificate,93.0
Bong,Community,AA Certificate,4.0
Bong,Community,B.Sc. in Education,6.0
Bong,Community,In-service B Certificate,1.0
Bong,Community,In-service C Certificate,10.0
Bong,Community,No teaching certificate,27.0
Bong,Community,Pre-service B Certificate,6.0
Bong,Community,Pre-service C Certificate,27.0
Bong,Faith-based,AA Certificate,23.0
Bong,Faith-based,B.Sc. in Education,14.0
Bong,Faith-based,In-service B Certificate,15.0
Bong,Faith-based,In-service C Certificate,125.0
Bong,Faith-based,No teaching certificate,55.0
Bong,Faith-based,Pre-service B Certificate,22.0
Bong,Faith-based,Pre-service C Certificate,100.0
Bong,Private,AA Certificate,24.0
Bong,Private,B.Sc. in Education,27.0
Bong,Private,In-service B Certificate,30.0
Bong,Private,In-service C Certificate,126.0
Bong,Private,No teaching certificate,68.0
Bong,Private,Pre-service B Certificate,39.0
Bong,Private,Pre-service C Certificate,171.0
Bong,Public,AA Certificate,21.0
Bong,Public,B.Sc. in Education,45.0
Bong,Public,In-service B Certificate,44.0
Bong,Public,In-service C Certificate,449.0
Bong,Public,M.Sc. in Education,1.0
Bong,Public,No teaching certificate,223.0
Bong,Public,Pre-service B Certificate,40.0
Bong,Public,Pre-service C Certificate,295.0
Gbarpolu,Faith-based,AA Certificate,1.0
Gbarpolu,Faith-based,No teaching certificate,17.0
Gbarpolu,Faith-based,Pre-service B Certificate,1.0
Gbarpolu,Faith-based,Pre-service C Certificate,4.0
Gbarpolu,Private,In-service C Certificate,4.0
Gbarpolu,Private,Pre-service B Certificate,2.0
Gbarpolu,Private,Pre-service C Certificate,14.0
