,County,Type of school,Professional qualification,0
0,Bomi,Faith-based,AA Certificate,17.0
1,Bomi,Faith-based,B.Sc. in Education,3.0
2,Bomi,Faith-based,In-service B Certificate,1.0
3,Bomi,Faith-based,In-service C Certificate,16.0
4,Bomi,Faith-based,No teaching certificate,47.0
5,Bomi,Faith-based,Pre-service B Certificate,5.0
6,Bomi,Faith-based,Pre-service C Certificate,19.0
7,Bomi,Private,AA Certificate,13.0
8,Bomi,Private,B.Sc. in Education,1.0
9,Bomi,Private,In-service C Certificate,14.0
10,Bomi,Private,No teaching certificate,20.0
11,Bomi,Private,Pre-service B Certificate,4.0
12,Bomi,Private,Pre-service C Certificate,9.0
13,Bomi,Public,AA Certificate,14.0
14,Bomi,Public,B.Sc. in Education,7.0
15,Bomi,Public,In-service B Certificate,5.0
16,Bomi,Public,In-service C Certificate,60.0
17,Bomi,Public,M.Sc. in Education,3.0
18,Bomi,Public,No teaching certificate,69.0
19,Bomi,Public,Pre-service B Certificate,4.0
20,Bomi,Public,Pre-service C Certificate,93.0
21,Bong,Community,AA Certificate,4.0
22,Bong,Community,B.Sc. in Education,6.0
23,Bong,Community,In-service B Certificate,1.0
24,Bong,Community,In-service C Certificate,10.0
25,Bong,Community,No teaching certificate,27.0
26,Bong,Community,Pre-service B Certificate,6.0
27,Bong,Community,Pre-service C Certificate,27.0
28,Bong,Faith-based,AA Certificate,23.0
29,Bong,Faith-based,B.Sc. in Education,14.0
30,Bong,Faith-based,In-service B Certificate,15.0
31,Bong,Faith-based,In-service C Certificate,125.0
32,Bong,Faith-based,No teaching certificate,55.0
33,Bong,Faith-based,Pre-service B Certificate,22.0
34,Bong,Faith-based,Pre-service C Certificate,100.0
35,Bong,Private,AA Certificate,24.0
36,Bong,Private,B.Sc. in Education,27.0
37,Bong,Private,In-service B Certificate,30.0
38,Bong,Private,In-service C Certificate,126.0
39,Bong,Private,No teaching certificate,68.0
40,Bong,Private,Pre-service B Certificate,39.0
41,Bong,Private,Pre-service C Certificate,171.0
42,Bong,Public,AA Certificate,21.0
43,Bong,Public,B.Sc. in Education,45.0
44,Bong,Public,In-service B Certificate,44.0
45,Bong,Public,In-service C Certificate,449.0
46,Bong,Public,M.Sc. in Education,1.0
47,Bong,Public,No teaching certificate,223.0
48,Bong,Public,Pre-service B Certificate,40.0
49,Bong,Public,Pre-service C Certificate,295.0
50,Gbarpolu,Faith-based,AA Certificate,1.0
51,Gbarpolu,Faith-based,No teaching certificate,17.0
52,Gbarpolu,Faith-based,Pre-service B Certificate,1.0
53,Gbarpolu,Faith-based,Pre-service C Certificate,4.0
54,Gbarpolu,Private,In-service C Certificate,4.0
55,Gbarpolu,Private,Pre-service B Certificate,2.0
56,Gbarpolu,Private,Pre-service C Certificate,14.0
57,Gbarpolu,Public,AA Certificate,18.0
58,Gbarpolu,Public,B.Sc. in Education,29.0
59,Gbarpolu,Public,In-service B Certificate,2.0
60,Gbarpolu,Public,In-service C Certificate,143.0
61,Gbarpolu,Public,No teaching certificate,161.0
62,Gbarpolu,Public,Pre-service B Certificate,8.0
63,Gbarpolu,Public,Pre-service C Certificate,163.0
64,Grand Bassa,Community,AA Certificate,2.0
65,Grand Bassa,Community,In-service B Certificate,2.0
66,Grand Bassa,Community,In-service C Certificate,2.0
67,Grand Bassa,Community,No teaching certificate,14.0
68,Grand Bassa,Community,Pre-service B Certificate,1.0
69,Grand Bassa,Community,Pre-service C Certificate,4.0
70,Grand Bassa,Faith-based,AA Certificate,7.0
71,Grand Bassa,Faith-based,In-service C Certificate,7.0
72,Grand Bassa,Faith-based,No teaching certificate,41.0
73,Grand Bassa,Faith-based,Pre-service C Certificate,13.0
74,Grand Bassa,Private,AA Certificate,46.0
75,Grand Bassa,Private,B.Sc. in Education,9.0
76,Grand Bassa,Private,In-service B Certificate,2.0
77,Grand Bassa,Private,In-service C Certificate,17.0
78,Grand Bassa,Private,No teaching certificate,47.0
79,Grand Bassa,Private,Pre-service B Certificate,3.0
80,Grand Bassa,Private,Pre-service C Certificate,19.0
81,Grand Bassa,Public,AA Certificate,66.0
82,Grand Bassa,Public,B.Sc. in Education,15.0
83,Grand Bassa,Public,In-service B Certificate,12.0
84,Grand Bassa,Public,In-service C Certificate,139.0
85,Grand Bassa,Public,M.Sc. in Education,2.0
86,Grand Bassa,Public,No teaching certificate,270.0
87,Grand Bassa,Public,PhD in Education,2.0
88,Grand Bassa,Public,Pre-service B Certificate,10.0
89,Grand Bassa,Public,Pre-service C Certificate,126.0
90,Grand Cape Mount,Community,AA Certificate,4.0
91,Grand Cape Mount,Community,In-service B Certificate,1.0
92,Grand Cape Mount,Community,In-service C Certificate,7.0
93,Grand Cape Mount,Community,No teaching certificate,19.0
94,Grand Cape Mount,Community,Pre-service B Certificate,1.0
95,Grand Cape Mount,Community,Pre-service C Certificate,2.0
96,Grand Cape Mount,Faith-based,AA Certificate,33.0
97,Grand Cape Mount,Faith-based,B.Sc. in Education,14.0
98,Grand Cape Mount,Faith-based,In-service B Certificate,11.0
99,Grand Cape Mount,Faith-based,In-service C Certificate,10.0
100,Grand Cape Mount,Faith-based,No teaching certificate,68.0
101,Grand Cape Mount,Faith-based,Pre-service B Certificate,11.0
102,Grand Cape Mount,Faith-based,Pre-service C Certificate,39.0
103,Grand Cape Mount,Private,AA Certificate,36.0
104,Grand Cape Mount,Private,B.Sc. in Education,22.0
105,Grand Cape Mount,Private,In-service B Certificate,31.0
106,Grand Cape Mount,Private,In-service C Certificate,28.0
107,Grand Cape Mount,Private,M.Sc. in Education,1.0
108,Grand Cape Mount,Private,No teaching certificate,73.0
109,Grand Cape Mount,Private,Pre-service B Certificate,22.0
110,Grand Cape Mount,Private,Pre-service C Certificate,30.0
111,Grand Cape Mount,Public,AA Certificate,114.0
112,Grand Cape Mount,Public,B.Sc. in Education,31.0
113,Grand Cape Mount,Public,In-service B Certificate,33.0
114,Grand Cape Mount,Public,In-service C Certificate,182.0
115,Grand Cape Mount,Public,M.Sc. in Education,0.0
116,Grand Cape Mount,Public,No teaching certificate,209.0
117,Grand Cape Mount,Public,PhD in Education,1.0
118,Grand Cape Mount,Public,Pre-service B Certificate,26.0
119,Grand Cape Mount,Public,Pre-service C Certificate,218.0
120,Grand Gedeh,Community,AA Certificate,4.0
121,Grand Gedeh,Community,B.Sc. in Education,1.0
122,Grand Gedeh,Community,In-service B Certificate,1.0
123,Grand Gedeh,Community,In-service C Certificate,23.0
124,Grand Gedeh,Community,No teaching certificate,4.0
125,Grand Gedeh,Community,Pre-service B Certificate,1.0
126,Grand Gedeh,Community,Pre-service C Certificate,1.0
127,Grand Gedeh,Faith-based,AA Certificate,30.0
128,Grand Gedeh,Faith-based,B.Sc. in Education,19.0
129,Grand Gedeh,Faith-based,In-service B Certificate,7.0
130,Grand Gedeh,Faith-based,In-service C Certificate,46.0
131,Grand Gedeh,Faith-based,No teaching certificate,63.0
132,Grand Gedeh,Faith-based,Pre-service B Certificate,4.0
133,Grand Gedeh,Faith-based,Pre-service C Certificate,25.0
134,Grand Gedeh,Private,AA Certificate,57.0
135,Grand Gedeh,Private,B.Sc. in Education,52.0
